Model,Pass Rate (%),Execution Time (s),BLEU Score,Syntax Success (%)
codegen,0.0,67.14179203510284,14.794402694368083,30.0
codet5,0.0,13.7881511926651,0.001259183033588036,100.0
gemini,29.0,1.8395596265792846,49.813549796755254,90.0
hybrid,20.0,130.7019098997116,60.05513612175032,100.0
